Epochs,Batch Size,Learning Rate,Convolutional Layers,Filter Size,Padding,Channels Number,Maxpool,Linear Layers Number,Activation,Softmax,Batch Normalization,GroupNorm,Dropout,Optimizer,Scheduler,Stepsize,Accuracy,Avg Loss
30,64,0.05,1,3,0,6  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.05,0.26037
30,64,0.05,1,5,0,6  ,+,2,ReLU(),-,,-,-,SGD + Momentum 0.9,+,5,92.38,0.234583
30,64,0.05,1,7,0,6  ,+,2,ReLU(),-,,-,-,SGD + Momentum 0.9,+,5,92.95,0.2324781
30,64,0.05,1,3,0,12  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.38,0.250804
30,64,0.05,1,3,0,16  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.53,0.238222
30,64,0.07,1,3,0,6  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.11,0.263194
30,64,0.07,1,3,0,12  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.48,0.251654
30,64,0.07,1,3,0,16  ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.53,0.246726
30,64,0.05,2,3,0,6 6 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,92.8,0.238927
30,64,0.05,2,3,0,6 10 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.04,0.2288
30,64,0.05,2,3,0,12 12 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.48,0.202391
30,64,0.05,2,3,0,12 16 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.49,0.204445
30,64,0.05,2,3,0,16 16 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.48,0.214718
30,64,0.05,2,3,0,16 20 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.53,0.20228
30,64,0.05,2,3,0,8 10 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.26,0.217694
30,64,0.05,2,3,0,8 14 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.26,0.215302
30,64,0.05,2,5,0,8 10 ,+,2,ReLU(),-,-,-,-,SGD + Momentum 0.9,+,5,93.45,0.204979
30,64,0.05,2,5,0,8 14 ,+,2,ReLU(),-,,-,-,SGD + Momentum 0.9,+,5,93.65,0.201833
